TX001,2500,02,12
TX002,400,14,120
TX003,1800,03,5
TX004,7000,11,400
TX005,150,09,12
TX006,3000,01,300
TX007,100,18,700
TX008,2200,15,20
TX009,2100,02,90
TX010,4500,22,10
TX011,6000,03,5
TX012,800,01,200
TX013,5100,10,50
TX014,100,04,10
TX015,2300,02,5
TX016,61,12,7
TX017,295,01,722
TX018,1219,17,1
TX019,201,10,7
TX020,1159,10,22
TX021,461,18,633
TX022,2027,09,744
TX023,706,12,189
TX024,1970,03,134
TX025,788,07,11
TX026,4473,12,856
TX027,1504,18,17
TX028,1898,16,2
TX029,4575,23,936
TX030,4365,10,751
TX031,103,11,24
TX032,2327,11,917
TX033,788,12,14
TX034,2667,15,393
TX035,1382,03,748
TX036,1257,09,17
TX037,344,04,418
TX038,4622,21,254
TX039,2230,11,871
TX040,1658,14,12
TX041,2272,10,965
TX042,2871,19,435
TX043,302,12,172
TX044,1535,03,794
TX045,1848,22,438
TX046,2899,08,551
TX047,196,05,911
TX048,323,09,25
TX049,1231,06,424
TX050,1230,18,571
TX051,4267,00,726
TX052,1406,21,24
TX053,4626,14,144
TX054,3781,09,494
TX055,1963,12,16
TX056,1049,01,921
TX057,4618,20,653
TX058,323,03,810
TX059,1114,01,643
TX060,4002,00,144
TX061,3260,11,89
TX062,1808,01,117
TX063,1681,06,808
TX064,272,04,999
TX065,552,04,246
TX066,1470,03,438
TX067,3795,20,492
TX068,517,11,2
TX069,2087,22,597
TX070,1215,02,37
TX071,1459,05,7
TX072,1864,05,27
TX073,2291,20,273
TX074,4741,19,249
TX075,1491,04,278
TX076,1663,17,224
TX077,208,17,11
TX078,851,18,914
TX079,1389,07,1
TX080,1501,14,849
TX081,519,10,6
TX082,297,17,217
TX083,3895,11,925
TX084,917,21,3
TX085,1345,21,26
TX086,1994,06,29
TX087,350,04,527
TX088,447,16,954
TX089,347,16,0
TX090,553,18,322
TX091,1436,21,707
TX092,327,10,333
TX093,1993,01,623
TX094,1541,14,1
TX095,1206,19,16
TX096,126,01,901
TX097,150,01,721
TX098,836,01,994
TX099,1195,01,664
TX100,868,22,18
